Scanning candidates...
Since: 2026-07-01
Delta range: 1.0h — 1440.0h
Analysis cross-check: enabled

hash_prefix,song_id,album,title,db_updated_at,r2_last_modified,delta_h,lrc_job_id,analyze_job_id,key_detected_at,analyze_job_done,job_completed_at,analyze_bump,bump_source,manual_edit_after_autogen,lrc_status,analyze_status,lrc_error,analyze_error,lrc_result_url,lrc_source,lrc_line_count,key_detected_at_drift,lrc_url_drift,stem_bump_attributable_to_stems,transcript_source_bias,debug_notes,verdict,recommendation
c60b92a819b8,wo_xin_wei_yi_ai_mu_037fb020,這裡有榮耀,我心唯一愛慕,2026-07-17 03:41:27 UTC,2026-07-14T04:41:06+00:00,71.00610540444444,job_7ca8ff432282,job_0818af2292f7,2026-07-17T03:41:24.124462+00:00,2026-07-17 03:41:24 UTC,2026-07-14T04:41:07.009421+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/c60b92a819b8/lyrics.lrc,youtube_transcript,26,False,False,False,False,"{'delta_h': 71.00610540444444, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
f80e410a0aee,ai_zhong_xiang_yu_e93451bb,這裡有榮耀,愛中相遇,2026-07-17 03:41:12 UTC,2026-07-14T04:40:30+00:00,71.01168062888888,job_17e6eb094ffd,job_4c7500d05450,2026-07-17T03:41:10.338792+00:00,2026-07-17 03:41:10 UTC,2026-07-14T04:40:30.363930+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/f80e410a0aee/lyrics.lrc,youtube_transcript,32,False,False,False,False,"{'delta_h': 71.01168062888888, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
d26bd09bba57,cong_zhe_dai_dao_na_dai_ee88b6be,這裡有榮耀,從這代到那代,2026-07-17 03:41:11 UTC,2026-07-14T04:39:43+00:00,71.02446985888889,job_7c0f294faef2,job_09de5c9e6c70,2026-07-17T03:41:07.830924+00:00,2026-07-17 03:41:07 UTC,2026-07-14T04:39:43.577142+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/d26bd09bba57/lyrics.lrc,youtube_transcript,34,False,False,False,False,"{'delta_h': 71.02446985888889, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
3fc133a5b56e,da_shou_qian_zhu_xiao_shou_f8374aa8,這裡有榮耀,大手牽著小手,2026-07-17 03:40:50 UTC,2026-07-14T05:07:50+00:00,70.55001318277778,job_5f1dc1fa42d2,job_cdfbd10cd079,2026-07-17T03:40:48.435124+00:00,2026-07-17 03:40:48 UTC,2026-07-14T05:07:50.924066+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/3fc133a5b56e/lyrics.lrc,whisper_asr,65,False,False,False,False,"{'delta_h': 70.55001318277778, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
5ba6da44112c,yi_ma_nei_li_80801d2c,這裡有榮耀,以馬內利,2026-07-17 03:40:49 UTC,2026-07-14T04:38:49+00:00,71.03334651,job_0ffec79e666b,job_879d85fe5229,2026-07-17T03:40:44.025320+00:00,2026-07-17 03:40:44 UTC,2026-07-14T04:38:49.281460+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/5ba6da44112c/lyrics.lrc,youtube_transcript,38,False,False,False,False,"{'delta_h': 71.03334651, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
b664a6fa900e,zan_mei_zhi_quan_2a240c3c,讓讚美飛揚,讚美之泉,2026-07-17 03:40:27 UTC,2026-07-14T04:38:04+00:00,71.03997370027778,job_428c2d44e4c4,job_e25e959aa52b,2026-07-17T03:40:26.502936+00:00,2026-07-17 03:40:26 UTC,2026-07-14T04:38:04.815902+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/b664a6fa900e/lyrics.lrc,youtube_transcript,17,False,False,False,False,"{'delta_h': 71.03997370027778, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
3502fddf6a49,wan_jun_zhi_ye_he_hua_5404d9df,讓讚美飛揚,萬軍之耶和華,2026-07-17 03:40:21 UTC,2026-07-14T04:37:01+00:00,71.05582452166666,job_d78476c38232,job_9695d0cc205d,2026-07-17T03:40:20.061142+00:00,2026-07-17 03:40:20 UTC,2026-07-14T04:37:01.413112+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/3502fddf6a49/lyrics.lrc,youtube_transcript,24,False,False,False,False,"{'delta_h': 71.05582452166666, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
8ce554a1a91f,you_yi_wei_shen_c33ea762,讓讚美飛揚,有一位神,2026-07-17 03:40:05 UTC,2026-07-14T04:35:49+00:00,71.07133203972222,job_eb24ee9f95bc,job_16866ddb6d0f,2026-07-17T03:40:03.837973+00:00,2026-07-17 03:40:03 UTC,2026-07-14T04:35:49.938029+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/8ce554a1a91f/lyrics.lrc,youtube_transcript,30,False,False,False,False,"{'delta_h': 71.07133203972222, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
a7a5745b439e,shui_neng_xiang_mi_70ade820,讓讚美飛揚,誰能像祢,2026-07-17 03:39:59 UTC,2026-07-14T04:37:37+00:00,71.03970010138889,job_f1d2c9c7a523,job_ea0ea415a766,2026-07-17T03:39:55.247057+00:00,2026-07-17 03:39:55 UTC,2026-07-14T04:37:37.330297+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/a7a5745b439e/lyrics.lrc,youtube_transcript,11,False,False,False,False,"{'delta_h': 71.03970010138889, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
e0f29f052999,sheng_ming_de_duo_shou_9ffd3d12,讓讚美飛揚,生命的舵手,2026-07-17 03:39:43 UTC,2026-07-17T01:15:50+00:00,2.3983139016666666,job_3053bca3f40a,job_0d33e3f3c0fc,2026-07-17T03:39:39.716415+00:00,2026-07-17 03:39:39 UTC,2026-07-17T01:15:50.975198+00:00,True,analysis_job,no,completed,completed,,,s3://stream-of-worship/e0f29f052999/lyrics.lrc,whisper_asr,10,False,False,False,False,"{'delta_h': 2.3983139016666666, 'analyze_bump': True, 'bump_source': 'analysis_job', 'manual_edit_after_autogen': 'no'}",NO_SIGNAL_POST_ANALYZE,likely not bug-reverted
